catalog_id,merchant,price,currency,in_stock,timestamp
prod_e7e24ac244f549e8b8c37ec9f62a8118,King Ice,25500,USD,FALSE,4/14/2025 15:41
prod_cb5b5990f3fe4873a7144d15df527eca,King Ice,5600,USD,FALSE,4/15/2025 10:59
prod_cb5b5990f3fe4873a7144d15df527eca,King Ice,5600,USD,FALSE,4/14/2025 15:41
prod_ab8f0ca033b74930b1a870ababcbbc38,The Man Cave Store,5047,USD,TRUE,4/14/2025 15:41
prod_0b0832a454874b4a9fd9e504f0759498,USA Outdoor Furniture,4489.68,USD,TRUE,4/14/2025 15:41
prod_f1d416bb785443238d39a60ef0381099,The Man Cave Store,5627,USD,TRUE,4/14/2025 15:41
prod_169b8dc034a74426bb0bfec863de8049,Classic Patio Furniture,3390,USD,TRUE,4/15/2025 10:59
prod_ef06b6632fc74749b9d55abaa5239ec4,USA Outdoor Furniture,3116.88,USD,TRUE,4/15/2025 10:59
prod_ef06b6632fc74749b9d55abaa5239ec4,USA Outdoor Furniture,3116.88,USD,TRUE,4/14/2025 15:41
prod_777bf0f240b546cc9edb1bac77e39313,LuxeDecor,4320,USD,TRUE,4/15/2025 10:59
prod_777bf0f240b546cc9edb1bac77e39313,LuxeDecor,4320,USD,TRUE,4/14/2025 15:41
prod_37f8e0aa55c443f3835fb1bb98028986,USA Outdoor Furniture,3001.44,USD,TRUE,4/15/2025 10:59
prod_fd2c020434744c359024a6e5740af8e8,PatioLiving,5291.2,USD,TRUE,4/14/2025 15:41
